,Unnamed: 0,p0,m0,p1,m1,p2,m2,p3,m3
9378,9378,12685.0843595,10.0223649046,77566.5934479,71.1646878668,8662.28092047,7.87573223156,2229.29530862,1.56239983485
9379,9379,10491.5455244,8.97283327167,59893.0910883,61.064576251,8194.70576297,7.62217245979,1683.24674256,1.17970213387
9380,9380,12806.2388691,10.0778134579,78488.3880697,71.6606331593,8723.5865376,7.90850502009,2249.11460478,1.57629017272
9381,9381,10595.7911168,9.02486201527,60664.8503211,61.5322919319,8254.84028857,7.65514951829,1683.24674256,1.17970213387
9382,9382,12928.0587711,10.1333263122,79425.2548952,72.1619506727,8786.86263834,7.94222020468,2268.76035673,1.59005888227
9383,9383,10701.8745716,9.07756774203,61453.0809587,62.0071588032,8316.04738036,7.68860125525,1683.24674256,1.17970213387
9384,9384,11797.4521743,9.60852012204,70073.8100988,67.0280442032,8548.42115191,7.81458037274,1928.10951825,1.35131401446
9385,9385,12713.1677148,10.0352391519,77791.5505864,71.2859685791,8812.1835456,7.9556805382,2229.34783108,1.56243664518
9386,9386,10841.4052816,9.14652805325,62485.3751243,62.6248233987,8391.18695133,7.72951281386,1683.24674256,1.17970213387
9387,9387,13183.6880355,10.2490474116,81443.5975457,73.232815242,8931.91497031,8.01908890085,2306.2490543,1.616332806
9388,9388,10918.9281599,9.18466657148,63114.9871827,62.999232748,8455.93665513,7.76463216231,1696.88265233,1.18925885032
9389,9389,13315.0975699,10.3081382233,82451.4951427,73.7630051936,8999.03419087,8.05446344828,2329.00703612,1.63228271936
9390,9390,11025.660966,9.23697307952,63906.7476315,63.4676253697,8517.49328463,7.79790494833,1715.65609133,1.20241620004
9391,9391,12152.6462158,9.77577250621,72783.6425043,68.5465881885,8750.80695,7.92302252636,1988.96173496,1.39396224188
9392,9392,13077.5527415,10.2011259127,80621.0085373,72.7978664093,9016.21802013,8.06350049146,2289.20999697,1.60439099628
9393,9393,11164.9928472,9.30490791327,64902.3956799,64.0528461566,8584.69297072,7.83410174435,1734.03143149,1.2152945425
9394,9394,13552.7763636,10.4143460305,84317.1583117,74.7366182659,9131.2438573,8.12379023313,2370.18798271,1.66114435285
9395,9395,11240.8262983,9.3417194513,65479.3354234,64.390062385,8644.17336139,7.86603187295,1754.18242599,1.22941735089
9396,9396,13678.4595559,10.4701661807,85278.5484017,75.2344671453,9202.31930207,8.16086933205,2391.19394717,1.67586636625
9397,9397,11348.1628904,9.39362981658,66268.1744664,64.848919561,8703.80852576,7.89794369849,1774.38224742,1.24357437959
9398,9398,12497.963597,9.93624956952,75409.0454988,69.9931668671,8942.84907556,8.02485993321,2049.34447384,1.43628143616
9399,9399,13441.7498539,10.364839558,83408.9509568,74.2639111546,9213.18083007,8.16652403209,2350.4244495,1.6472930964
9400,9400,11490.7152696,9.46222549744,67328.8757129,65.4619592856,8776.30481079,7.93660249993,1793.8174249,1.25719550819
9401,9401,13931.7257735,10.5819477324,87248.3653153,76.246546851,9454.34501029,8.29129881619,2431.91318006,1.70440440807
9402,9402,11569.1743777,9.49981378399,67932.7406176,65.8089767285,8829.66152778,7.96496127314,1814.29031109,1.27154391411
9403,9403,14062.5116774,10.6393104358,88257.5448676,76.7609974224,9560.08351076,8.34554475862,2452.66832777,1.71895063675
9404,9404,11680.3447337,9.55287454267,68757.4001644,66.2805854064,8890.31355389,7.99710186517,1835.40172635,1.28633983261
9405,9405,12859.6620299,10.1021876386,78169.406434,71.489318824,9147.3830468,8.13222144016,2109.87378092,1.47870335264
9406,9406,13818.6411137,10.5321516185,86335.1870683,75.778678858,9490.31463493,8.30978306678,2412.4352751,1.69075333395
9407,9407,11828.7955039,9.62337058798,69871.9678772,66.9138609866,8973.79812938,8.04117730527,1854.18311539,1.29950275411
9408,9408,14324.0594166,10.7533046873,90311.3188676,77.7996960266,9852.3457013,8.49406518422,2494.14686915,1.74802083932
9409,9409,11909.0271568,9.66130269398,70496.2139808,67.2665106133,9021.98279419,8.066530434,1874.84222418,1.31398167399
9410,9410,14459.6087045,10.8120121261,91366.4332367,78.3291137891,9944.36775148,8.54040873815,2515.14959757,1.76274058474
9411,9411,12024.2255487,9.71556307144,71359.3769418,67.751766328,9086.70747111,8.10048855689,1896.29566842,1.32901730323
9412,9412,13234.2710952,10.2718246052,81056.366212,73.028317049,9361.47577639,8.24342477462,2171.36671895,1.52180062909
9413,9413,14209.3856134,10.7034418111,89393.9491445,77.3370870639,9892.6039564,8.51436411124,2475.12265279,1.73468773249
9414,9414,12179.1585929,9.78816650545,72535.2125858,68.4084695709,9173.05837235,8.14562029987,1915.35320144,1.34237376001
9415,9415,14730.4190298,10.9285609985,93514.2935278,79.3982571945,10246.0916982,8.69099843782,2557.19599708,1.79220877022
9416,9416,12260.7362334,9.826225428,73177.0430024,68.7648620154,9224.50237623,8.17241496504,1936.1733518,1.35696554575
9417,9417,14869.7337908,10.9881403269,94608.2690061,79.9384877447,10360.9543012,8.74779083488,2578.32372802,1.80701612356
9418,9418,12378.833523,9.88111812929,74070.2188494,69.2584328678,9290.23968556,8.20655456179,1957.78336992,1.37211090967
9419,9419,13619.9472813,10.4442080011,84057.91265,74.601924491,9584.78023203,8.35817491279,2233.36317941,1.56525079884
9420,9420,14608.0819676,10.8760318322,92521.0144648,78.9052435963,10278.2090589,8.70690771676,2538.23154102,1.77891754636
9421,9421,12545.2643698,9.95807313495,75311.7905132,69.9399977014,9372.08259956,8.24890358847,1976.85775298,1.38547917579
9422,9422,15153.400722,11.1086785293,96792.5927054,81.0086833469,10641.9137177,8.88550494625,2620.66184429,1.8366887585
9423,9423,12618.285301,9.99168996831,75890.0450547,70.255665839,9415.12611396,8.27110796647,1997.963349,1.40027101589
9424,9424,15295.1088725,11.168512416,97845.6456697,81.5206754522,10749.9942514,8.93803728354,2642.70043978,1.85213449053
9425,9425,12734.7333939,10.0451167146,76741.7029325,70.7185755237,9473.43948322,8.30111519349,2019.10099138,1.41508531565
9426,9426,14013.2293217,10.6177237111,86980.391543,76.1094839083,9782.14393215,8.45857695494,2296.47726571,1.60948425577
9427,9427,15013.7885614,11.0494819571,95609.4543082,80.4303986409,10669.9950372,8.89917719962,2602.08906853,1.82367204346
9428,9428,12897.8717358,10.1195924627,77900.5593126,71.3446802154,9551.91490395,8.34136395395,2039.10229306,1.42910321195
9429,9429,15560.2767922,11.2798068162,99917.059815,82.5205047894,11032.2369306,9.07409313384,2684.84182627,1.88166924756
9430,9430,12975.8930699,10.1550590914,78490.1975915,71.6616040785,9596.16047653,8.36398985615,2060.32582131,1.44397770475
9431,9431,14268.2723419,10.7290698291,88936.4397307,77.1055627516,9932.00520112,8.53419426161,2337.99771753,1.63858383124
