,p0,m0,p1,m1,p2,m2,p3,m3
5093,26114.9232998,15.1807711054,195967.133771,121.636120444,19915.2669787,12.7602723022,5790.05727146,4.05795700989
5094,23291.0787273,14.2191811811,169966.530834,112.115139818,17428.6942519,11.8202715797,5239.91981934,3.67239361637
5095,26971.5533437,15.4633833948,203701.571703,124.359153226,20655.1785062,13.0297541838,5879.04402321,4.12032330371
5096,23401.3302016,14.2576520625,170668.318787,112.380251371,17521.7081326,11.8564703225,5270.74952046,3.69400058776
5097,27158.5073117,15.5245407851,205686.301421,125.050568369,20863.9327775,13.1050083287,5909.69594434,4.14180567813
5098,23642.5442096,14.3415440665,172232.850954,112.969543425,17691.5747486,11.9223573594,5300.86991203,3.71511044011
5099,25474.9733863,14.9670026381,189800.403545,119.431049584,19357.1683885,12.5540608456,5570.47870945,3.90406555024
5100,28495.3877248,15.9566657821,222757.139904,130.881531638,23436.1514798,14.0064806591,6573.20872568,4.60682808049
5101,26008.6165631,15.1454198711,196386.380799,121.784917903,20370.1036778,12.9264417844,6035.06130079,4.22966788798
5102,28923.8700092,16.0933016376,227136.366152,132.345682263,23746.5437431,14.1122562715,6676.09977901,4.67893919297
5103,25973.9397,15.133874827,196380.207099,121.782727771,20544.3962747,12.9896815883,6070.26379414,4.2543395273
5104,28170.9688654,15.8526231044,218487.67964,129.441997399,22220.8798721,13.5863021232,6340.17807384,4.44350873445
5105,27576.9434468,15.660763975,214072.797359,127.94050176,23343.7653229,13.974879053,6654.02582936,4.663468683
5106,27222.5888324,15.5454614219,205902.707107,125.125780255,20832.2803847,13.0936193803,6104.65715855,4.27844408925
5107,28448.7495126,15.9417402931,223095.380613,130.995061601,23955.1452199,14.1830041331,6746.61673712,4.72836094668
5108,26611.1736542,15.3449723895,201734.52981,123.670984699,21079.1724781,13.1822529507,6139.14121793,4.3026122147
5109,28797.5199687,16.0531020415,226682.613865,132.194546768,24200.0776878,14.2657310966,6780.69488061,4.7522445863
5110,26389.478326,15.2717830088,200158.543007,123.11750335,21166.7845654,13.2135951483,6172.6766602,4.3261155026
5111,28225.3036461,15.8700844767,219652.150407,129.835825623,22884.1715375,13.8168492712,6442.57179969,4.51527129535
5112,27866.364272,15.7544625309,216871.202768,128.893782208,23471.5693667,14.0185812353,6756.99824691,4.73563681952
5113,27348.3908231,15.5864698741,209928.331794,126.518645622,21550.1671793,13.350077747,6205.4424429,4.34907937522
5114,28641.1045064,16.00323128,224875.929801,131.59147238,24045.1374762,14.2134421339,6848.96755743,4.80009343727
5115,26776.1348639,15.3992600484,204232.167019,124.544282903,21534.5442809,13.3445370884,6239.70690016,4.3730935927
5116,28218.250336,15.8678186009,219698.067177,129.85133621,23295.8853908,13.9584797014,6509.84664709,4.56242081836
5117,28128.4444758,15.8389470382,219563.119677,129.805747215,23444.667213,14.0093908031,6824.90826881,4.78323150408
5118,27422.7827185,15.6106813893,210819.207088,126.825307176,21996.0533312,13.5074725798,6272.2865583,4.39592702005
5119,28789.8583757,16.0506619816,226503.032179,132.134695606,24104.1961712,14.2333904664,6916.90406668,4.84770668547
5120,26907.4411383,15.442368333,205743.464693,125.070438849,21818.7213145,13.4450453719,6306.34171111,4.41979454668
5121,29133.7554508,16.1599119705,230076.204063,133.321729546,24440.4786243,14.346572828,6950.6439301,4.87135324177
5122,26728.2348276,15.3835114647,204223.685112,124.541325143,21737.4508331,13.4163606451,6339.4999421,4.44303346636
5123,28585.2749142,15.9854023939,223539.844121,131.14413152,23760.4072397,14.116966527,6609.99491813,4.63260965406
5124,28221.1601491,15.868753408,220946.11637,130.272386287,23430.0751878,14.0044038803,6925.98234992,4.85406919302
5125,27738.020286,15.7129640448,214163.916893,127.971626944,22767.6943486,13.7765785821,6371.53226181,4.46548329202
5126,29009.2436108,16.1204212977,229016.497607,132.970525574,24278.7223383,14.2922160334,7018.01182161,4.91856797468
5127,27188.3667969,15.5342916452,208761.397086,126.116096685,22265.211208,13.6018042814,6405.72201599,4.4894451539
5128,28615.1867933,15.9949564619,224205.338214,131.367093204,23818.4670574,14.136679865,6676.62977128,4.67931063762
5129,28538.5159706,15.9704586034,224111.340718,131.335618491,23790.0516164,14.1270344573,6993.36366707,4.90129333528
5130,27932.4142907,15.7757867752,216333.306673,128.71096499,23055.0341238,13.8757608176,6437.8972052,4.51199510954
5131,29367.4828573,16.2338460962,232722.741602,134.195790375,24663.2544164,14.4211785233,7085.4641712,4.96584189997
5132,27561.9163525,15.6558874291,212532.636341,127.413527207,22682.6354334,13.7471132763,6471.96211092,4.53586947148
5133,29152.171999,16.1657468582,229637.140083,133.176301762,24382.0946234,14.3269715455,6743.06505114,4.7258717504
5134,29058.2910026,16.1359860666,229377.558776,133.090266008,24353.1937143,14.3172610563,7060.38892411,4.94826793309
5135,28530.5436843,15.9679096691,222310.93684,130.731649702,23542.9092,14.042930367,6503.74205912,4.55814242277
5136,29928.7583695,16.4103654044,238457.732688,136.075245352,25292.2866152,14.630266691,7152.56691956,5.01287080751
5137,28130.4641226,15.8395967693,218124.830296,129.319093985,23236.4804472,13.9381123859,6537.96267981,4.58212591742
5138,29728.3268937,16.3474951011,235484.816933,135.103437453,25022.0098503,14.5407082343,6809.46263731,4.77240644558
5139,29629.4691401,16.3164188265,235067.745189,134.966679348,24932.7477953,14.5110381376,7127.55414206,4.9953406224
5140,29124.7533184,16.1570592601,228258.274605,132.718806002,23797.9878907,14.1297288726,6569.85964484,4.60448087987
5141,30524.6175259,16.5962118049,244507.233543,138.03675592,25993.4945248,14.860698301,7219.93703942,5.06008710215
5142,28704.9955403,16.0236161534,223760.724357,131.218165327,23728.5406006,14.1061377369,6604.20693613,4.62855315151
5143,30327.6913526,16.5349648788,241581.446598,137.090732309,25520.5234793,14.7055712527,6875.98068638,4.8190255671
5144,30201.3730393,16.4955881868,240783.398346,136.831836161,25824.8498759,14.8055271831,7194.70768139,5.04240512675
5145,29729.7589554,16.3479449478,234327.333915,134.723639465,24006.0794045,14.2002376801,6635.83783225,4.65072163977
5146,31132.556992,16.7842298455,250711.416298,140.02684658,26788.5609078,15.118736316,7287.07605783,5.10714142954
5147,29302.2178193,16.2132266265,229624.726846,133.172188472,24140.1466523,14.2455230571,6670.10083381,4.67473483701
5148,30956.1266007,16.7298282564,247997.551846,139.158966237,25806.572186,14.7995383655,6942.25621007,4.8654747149
5149,30796.5198638,16.6804997094,246736.768127,138.754386291,26681.6646351,15.0842380718,7261.78279625,5.08941466737
5150,30351.3460619,16.5423308359,236534.339153,135.447114389,24209.312026,14.2688428632,6701.85221143,4.69698776464
5151,31600.1927342,16.9277890596,257282.994997,142.111866856,27619.4493277,15.3848850104,7354.34834079,5.15428915527
5152,30153.5350135,16.4806573874,235094.733034,134.975531851,24328.803361,14.3090621675,6736.27952155,4.72111611741
5153,31411.1269616,16.8698579757,253613.788322,140.95056015,26093.5403345,14.893354338,7008.77408038,4.91209371113
5154,31118.6257431,16.7799390076,253713.339823,140.98216292,27411.7240006,15.3186746747,7329.11235397,5.13660253408
5155,30975.52166,16.7358151243,237963.874832,135.914173341,24413.9764759,14.3376777861,6768.08108876,4.74340422037
5156,31174.465318,16.7971326998,254208.387043,141.139237502,26281.3249412,14.9545030573,7041.75332577,4.93520718889
5157,31320.2333384,16.8419544963,250212.1186,139.867477658,27626.6687125,15.3871822466,7362.50586953,5.16000635276
5158,30800.9856114,16.6818813937,239662.637627,136.467623023,24444.7101849,14.3479926972,6800.94339782,4.7664357434
5159,31516.1695389,16.9020620967,257317.810475,142.122851883,28462.3459579,15.651375072,7455.37698903,5.22509500262
5160,30531.9133402,16.5984776498,240873.669222,136.861139614,24578.4346081,14.3928078748,6835.6004356,4.79072510062
5161,31214.3699259,16.809411749,254511.122499,141.235228473,26438.6832614,15.0055983441,7108.57544145,4.98203941525
5162,31002.3977937,16.7441085989,248330.012322,139.265503952,27839.3755873,15.4547506701,7429.92815871,5.20725921023
