,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,t6,hsp0,m,rh,tdis,twater,mwa
1973,26.59,818.0,17771.3499591,15147.9412986,-31389.5798421,-20.5875179421,23.7299163501,23.7299268405,23.7299726866,23.7299300767,23.7299321082,24.8296300253,23.73,3.72357742339,0.0,15.5056599615,82.2222222222,0.0
1974,26.6083333333,819.5,17777.2268711,15173.0146129,-33374.8836823,-0.410667071849,23.7299133405,23.7299257816,23.72994446,23.7299293567,23.7299310668,24.8343634315,23.73,4.01500400637,0.0,15.6202082609,82.2222222222,0.0
1975,26.6266666667,821.0,17782.4216251,15203.882291,-32993.2084366,-0.277605083873,23.729911306,23.7299212052,23.7299286103,23.7299257741,23.7299262989,24.8392382879,23.73,3.94349420987,0.0,15.5675753,82.2222222222,0.0
1976,26.645,822.5,17783.7694124,15365.7806262,-35611.6966707,-1343.1731011,23.7200681376,23.7202048742,23.7206821775,23.7201599429,23.7202189134,24.8410346207,23.72,4.29307329515,0.0,15.6273142351,82.2222222222,0.0
1977,26.6633333333,824.0,17786.4339261,15416.5558445,-31674.3472266,-20.9193179977,23.7199148373,23.719926663,23.7199731652,23.7199297949,23.7199320413,24.8461500399,23.72,3.76132663244,0.0,15.5043211459,82.2222222222,0.0
1978,26.6816666667,825.5,17784.2286054,15439.6290684,-33647.909444,-0.395694896921,23.7199119376,23.7199256725,23.7199449716,23.7199291993,23.7199310926,24.8508488984,23.72,4.05289355057,0.0,15.6202796208,82.2222222222,0.0
1979,26.7,827.0,17781.5403487,15602.1832621,-35853.1691333,-1343.51346778,23.710067089,23.7102086057,23.7106798735,23.7101607317,23.7102196964,24.8523587118,23.71,4.32086846789,0.0,15.6148211142,82.2222222222,0.0
1980,26.7266666667,828.5,17782.8346709,15652.7966074,-31906.6231347,-20.9117468633,23.7099138543,23.7099267214,23.7099737958,23.7099297019,23.7099321319,24.8572531125,23.71,3.79403054188,0.0,15.5053747387,82.2222222222,0.0
1981,26.7533333333,830.0,17812.0884815,15674.466761,-33910.7425513,-0.414924795355,23.7099108138,23.7099255498,23.7099452831,23.7099289968,23.7099310193,24.861703203,23.71,4.08986088363,0.0,15.6207565595,82.2222222222,0.0
1982,26.78,831.5,17810.2784584,15835.817165,-36115.2783127,-1343.38431863,23.7000672375,23.7002143493,23.7006812357,23.7001631148,23.7002223896,24.8629028746,23.7,4.3578491915,0.0,15.6148023008,82.2222222222,0.0
